address,suburb,postcode,sale_price,sale_date,bedrooms,bathrooms,parking,land_size_sqm,property_type,description,listing_url,agent_name,agency_name
"81 Ellena St, Paddington, QLD 4064",Paddington,4064,1950000,5 Jan 2026,4,3,2,213,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/81-ellena-st-paddington-qld-4064-19574031,Agent name not disclosed,Graczyk Thompson
"83 Ellena St, Paddington, QLD 4064",Paddington,4064,,23 Dec 2025,4,3,2,449,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/83-ellena-st-paddington-qld-4064-14474958,Judi O'Dea,Ray White Paddington (Qld)
"3 Donaldson St, Paddington, QLD 4064",Paddington,4064,,15 Dec 2025,4,3,3,420,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/3-donaldson-st-paddington-qld-4064-3183023,Agent name not disclosed,Harcourts Local - Nundah
"4 Princess St, Paddington, QLD 4064",Paddington,4064,,9 Dec 2025,64,,6,468,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/4-princess-st-paddington-qld-4064-3182287,Michael Kleimeyer,Ray White Paddington (Qld)
"55 Tooth Ave, Paddington, QLD 4064",Paddington,4064,,8 Dec 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/55-tooth-ave-paddington-qld-4064-5051581,Max Hadgelias,Ray White Paddington (Qld)
"52 Warmington St, Paddington, QLD 4064",Paddington,4064,2110000,28 Nov 2025,3,3,2,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/52-warmington-st-paddington-qld-4064-3183012,Alex Rutherford,Place New Farm
"10 Prince St, Paddington, QLD 4064",Paddington,4064,,27 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/10-prince-st-paddington-qld-4064-3183461,Josh Brown,Ray White New Farm
"39 Plunkett St, Paddington, QLD 4064",Paddington,4064,2750000,13 Nov 2025,4,2,1,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/39-plunkett-st-paddington-qld-4064-3182383,,
"27 Campbell St, Paddington, QLD 4064",Paddington,4064,2830000,10 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/27-campbell-st-paddington-qld-4064-3178099,Agent name not disclosed,McGrath Paddington (CO)
"15 Kennedy Tce, Paddington, QLD 4064",Paddington,4064,,4 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/15-kennedy-tce-paddington-qld-4064-5051260,Will Blewitt,Ray White New Farm
"11 Plunkett St, Paddington, QLD 4064",Paddington,4064,2400000,25 Oct 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/11-plunkett-st-paddington-qld-4064-3179345,,
"86 Charlotte St, Paddington, QLD 4064",Paddington,4064,1670000,24 Oct 2025,4,1,1,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/86-charlotte-st-paddington-qld-4064-5051018,,
"157 Enoggera Tce, Paddington, QLD 4064",Paddington,4064,1810000,22 Oct 2025,9,3,1,384,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/157-enoggera-tce-paddington-qld-4064-3182436,,
"175 Given Tce, Paddington, QLD 4064",Paddington,4064,,20 Oct 2025,,,5,,House,,https://www.onthehouse.com.au/property/qld/paddington-4064/175-given-tce-paddington-qld-4064-5051458,Keelan Mylius,Raine & Horne Commercial Brisbane North
"141 Heal St, New Farm, QLD 4005",New Farm,4005,,13 Dec 2025,4,2,2,253,House,,https://www.onthehouse.com.au/property/qld/new-farm-4005/141-heal-st-new-farm-qld-4005-3114415,Nick Mogridge,Ray White New Farm
"100 Villiers St, New Farm, QLD 4005",New Farm,4005,,10 Dec 2025,4,3,2,374,House,,https://www.onthehouse.com.au/property/qld/new-farm-4005/100-villiers-st-new-farm-qld-4005-3151982,Scott Darwon,Ray White Bulimba
"528a Lower Bowen Tce, New Farm, QLD 4005",New Farm,4005,,8 Dec 2025,3,2,3,276,House,,https://www.onthehouse.com.au/property/qld/new-farm-4005/528a-lower-bowen-tce-new-farm-qld-4005-5080632,Karla Lynch,Ray White New Farm
"1 Panorama St, Ashgrove, QLD 4060",Ashgrove,4060,1242500,5 Jan 2026,3,2,1,519,House,,https://www.onthehouse.com.au/property/qld/ashgrove-4060/1-panorama-st-ashgrove-qld-4060-2295992,Brady Hope,Aurora Property Brisbane
"20 Todd St, Ashgrove, QLD 4060",Ashgrove,4060,,6 Dec 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/ashgrove-4060/20-todd-st-ashgrove-qld-4060-4074272,Agent name not disclosed,Harcourts Solutions
"37 Panorama St, Ashgrove, QLD 4060",Ashgrove,4060,2275000,3 Dec 2025,4,2,2,744,House,,https://www.onthehouse.com.au/property/qld/ashgrove-4060/37-panorama-st-ashgrove-qld-4060-2303127,Ben Knight,Harcourts Solutions
"55 Mirrabooka Rd, Ashgrove, QLD 4060",Ashgrove,4060,,2 Dec 2025,3,1,2,607,House,,https://www.onthehouse.com.au/property/qld/ashgrove-4060/55-mirrabooka-rd-ashgrove-qld-4060-5086039,Agent name not disclosed,Arthur Conias Real Estate
